4,22;23:59:33;05/04/2026
5,76;23:59:01;05/04/2026
1,13;23:58:48;05/04/2026
17,46;23:58:02;05/04/2026
4,16;23:57:33;05/04/2026
6,36;23:56:59;05/04/2026
1,03;23:56:48;05/04/2026
1,69;23:56:30;05/04/2026
1,23;23:56:17;05/04/2026
1,40;23:56:00;05/04/2026
103,21;23:54:52;05/04/2026
1,90;23:54:34;05/04/2026
15,69;23:53:47;05/04/2026
1,00;23:49:19;03/04/2026
20,09;23:48:31;03/04/2026
5,27;23:48:06;03/04/2026
2,84;23:48:06;03/04/2026
5,27;23:47:34;03/04/2026
1,18;23:47:17;03/04/2026
2,26;23:46:55;03/04/2026
3,47;23:46:28;03/04/2026
21,46;23:45:37;03/04/2026
5,91;23:45:02;03/04/2026
3,70;23:44:34;03/04/2026
2,74;23:44:10;03/04/2026
1,17;23:43:56;03/04/2026
2,37;23:43:34;03/04/2026
20,98;23:42:44;03/04/2026
1,00;23:42:32;03/04/2026
1,63;23:42:14;03/04/2026
1,13;23:41:58;03/04/2026
1,37;23:41:58;03/04/2026
1,13;23:41:44;03/04/2026
1,00;23:41:29;03/04/2026
1,30;23:41:12;03/04/2026
13,64;23:40:28;03/04/2026
5,01;23:39:57;03/04/2026
3,18;23:39:30;03/04/2026
2,79;23:39:06;03/04/2026
3,76;23:38:37;03/04/2026
1,09;23:38:22;03/04/2026
1,07;23:38:08;03/04/2026
1,99;23:37:48;03/04/2026
25,93;23:36:57;03/04/2026
1,27;23:36:42;03/04/2026
1,00;23:36:29;03/04/2026
3,92;23:35:58;03/04/2026
1,73;23:35:38;03/04/2026
1,88;23:35:17;03/04/2026
1,60;23:35:00;03/04/2026
2,24;23:34:37;03/04/2026
9,34;23:33:58;03/04/2026
1,03;23:33:45;03/04/2026
2,99;23:33:20;03/04/2026
1,02;23:32:50;03/04/2026
4,70;23:32:50;03/04/2026
1,02;23:32:35;03/04/2026
1,95;23:32:15;03/04/2026
1,61;23:31:54;03/04/2026
20,26;23:31:06;03/04/2026
2,32;23:30:43;03/04/2026
39,13;23:29:47;03/04/2026
95,43;23:28:35;03/04/2026
1,87;23:28:21;03/04/2026
1,08;23:28:21;03/04/2026
1,88;23:28:01;03/04/2026
1,87;23:28:01;03/04/2026
1,88;23:27:44;03/04/2026
1,63;23:27:44;03/04/2026
1,88;23:27:24;03/04/2026
1,98;23:27:02;03/04/2026
108,50;23:25:54;03/04/2026
1,18;23:25:37;03/04/2026
1,28;23:25:37;03/04/2026
1,18;23:25:23;03/04/2026
1,36;23:25:08;03/04/2026
1,20;23:24:53;03/04/2026
3,20;23:24:26;03/04/2026
2,09;23:24:03;03/04/2026
2,60;23:24:03;03/04/2026
2,09;23:23:42;03/04/2026
1,59;23:23:24;03/04/2026
1,25;23:23:08;03/04/2026
4,08;23:22:37;03/04/2026
1,37;23:22:20;03/04/2026
1,87;23:21:59;03/04/2026
1,98;23:21:35;03/04/2026
4,01;23:21:02;03/04/2026
3,97;23:20:33;03/04/2026
6,27;23:19:58;03/04/2026
4,29;23:19:28;03/04/2026
2,70;23:19:13;03/04/2026
1,27;23:19:13;03/04/2026
2,70;23:18:48;03/04/2026
1,53;23:18:23;03/04/2026
2,98;23:18:23;03/04/2026
1,53;23:18:05;03/04/2026
1,85;23:17:46;03/04/2026
2,01;23:17:05;03/04/2026
7,88;23:17:05;03/04/2026
2,01;23:16:44;03/04/2026
5,25;23:16:12;03/04/2026
1,17;23:15:58;03/04/2026
1,00;23:15:46;03/04/2026
1,00;23:15:34;03/04/2026
2,93;23:15:08;03/04/2026
1,23;23:14:53;03/04/2026
8,24;23:14:14;03/04/2026
1,22;23:14:00;03/04/2026
4,01;23:13:31;03/04/2026
9,07;23:12:52;03/04/2026
1,05;23:12:39;03/04/2026
1,22;23:12:24;03/04/2026
2,08;23:12:03;03/04/2026
3,66;23:11:34;03/04/2026
1,32;23:11:18;03/04/2026
