271,11;1776375275.0
5,76;1776375242.0
6,00;1776375207.0
5,77;1776375175.0
1,73;1776375157.0
12,70;1776375115.0
1,40;1776375099.0
4,96;1776375069.0
2,14;1776375049.0
1,35;1776375035.0
7,00;1776375000.0
1,30;1776374982.0
1,40;1776374967.0
1,62;1776374948.0
1,13;1776374936.0
1,80;1776374917.0
1,00;1776374904.0
1,20;1776374891.0
1,06;1776374879.0
1,34;1776374864.0
1,53;1776374847.0
1,94;1776374826.0
2,99;1776374800.0
1,61;1776374783.0
9,34;1776374744.0
3,89;1776374715.0
1,69;1776374697.0
1,09;1776374684.0
1,28;1776374662.0
7,64;1776374626.0
1,07;1776374614.0
1,01;1776374602.0
1,31;1776374587.0
1357,71;1776374489.0
1,43;1776374473.0
1,04;1776374460.0
5,16;1776374428.0
1,04;1776374416.0
1,42;1776374400.0
1,87;1776374380.0
13,13;1776374337.0
3,31;1776374312.0
4,08;1776374282.0
3,70;1776374254.0
2,02;1776374232.0
1,08;1776374220.0
3,66;1776374192.0
1,29;1776374177.0
22,39;1776374125.0
3,22;1776374099.0
1,77;1776374078.0
2,18;1776374057.0
1,04;1776374045.0
1,09;1776374031.0
1,56;1776374011.0
2,99;1776373984.0
2,20;1776373961.0
1,97;1776373941.0
4,12;1776373910.0
1,36;1776373894.0
1,88;1776373873.0
3,21;1776373846.0
1,02;1776373834.0
27,51;1776373781.0
7,13;1776373746.0
1,03;1776373735.0
10,00;1776373695.0
1,51;1776373677.0
1,62;1776373661.0
1,00;1776373648.0
1,30;1776373634.0
1,61;1776373616.0
1,03;1776373604.0
1,25;1776373589.0
1,09;1776373575.0
1,00;1776373562.0
2,13;1776373540.0
1,99;1776373518.0
1,11;1776373504.0
3,45;1776373476.0
7,85;1776373435.0
10,93;1776373394.0
3,17;1776373368.0
3,23;1776373341.0
2,50;1776373318.0
6,52;1776373283.0
5,45;1776373248.0
1,95;1776373223.0
5,69;1776373189.0
3,43;1776373162.0
2,57;1776373138.0
3,71;1776373111.0
1,52;1776373092.0
3,13;1776373067.0
8,79;1776373030.0
1,61;1776373013.0
5,37;1776372979.0
1,08;1776372966.0
1,66;1776372947.0
6,14;1776372913.0
1,05;1776372899.0
1,23;1776372884.0
1,14;1776372867.0
2,14;1776372847.0
5,55;1776372811.0
1,79;1776372792.0
1,37;1776372774.0
2,52;1776372749.0
7,82;1776372713.0
3,45;1776372687.0
1,62;1776372669.0
4,33;1776372639.0
1,00;1776372626.0
2,50;1776372603.0
2,50;1776372580.0
5,38;1776372548.0
1,05;1776372535.0
1,00;1776372523.0
56,71;1776372462.0
1,00;1776372451.0
2,02;1776372429.0
11,18;1776372388.0
1,13;1776372373.0
2,18;1776372349.0
1,35;1776372334.0
1,16;1776372319.0
2,22;1776372297.0
1,73;1776372276.0
6,47;1776372243.0
2,23;1776372221.0
1,05;1776372209.0
2,09;1776372187.0
9,81;1776372146.0
1,18;1776372132.0
1,40;1776372117.0
2,09;1776372097.0
1,34;1776372082.0
1,25;1776372065.0
1,85;1776372046.0
2,02;1776372026.0
1,29;1776372012.0
1,98;1776371992.0
1,10;1776371976.0
1,37;1776371957.0
20,11;1776371909.0
1,10;1776371894.0
64,99;1776371833.0
1,69;1776371816.0
2,83;1776371791.0
4,70;1776371759.0
2,00;1776371739.0
7,05;1776371700.0
1,09;1776371687.0
17,96;1776371642.0
1,55;1776371623.0
1,39;1776371609.0
1,64;1776371592.0
1,34;1776371575.0
1,13;1776371563.0
1,40;1776371546.0
1,37;1776371530.0
2,62;1776371508.0
1,12;1776371493.0
1,00;1776371478.0
6,82;1776371441.0
1,00;1776371429.0
1,29;1776371414.0
1,08;1776371402.0
1,08;1776371389.0
3,66;1776371360.0
1,76;1776371340.0
2,72;1776371314.0
1,50;1776371298.0
8,69;1776371259.0
1,30;1776371244.0
5,12;1776371212.0
1,67;1776371193.0
3,61;1776371167.0
1,90;1776371145.0
1,16;1776371130.0
1,60;1776371112.0
1,17;1776371098.0
3,48;1776371070.0
1,82;1776371050.0
1,00;1776371036.0
2,11;1776371015.0
3,25;1776370989.0
51,99;1776370930.0
1,20;1776370916.0
2,02;1776370894.0
1,45;1776370878.0
1,57;1776370860.0
4,69;1776370829.0
1,43;1776370813.0
2,75;1776370730.0
3,04;1776370704.0
2,63;1776370681.0
3,10;1776370655.0
1,72;1776370635.0
1,42;1776370618.0
1,77;1776370599.0
5,24;1776370568.0
1,36;1776370552.0
4,54;1776370522.0
2,92;1776370497.0
1,02;1776370484.0
2,88;1776370460.0
2,43;1776370436.0
4,62;1776370406.0
21,69;1776370355.0
1,05;1776370343.0
2,27;1776370322.0
1,27;1776370306.0
12,33;1776370264.0
1,32;1776370249.0
1,83;1776370228.0
1,00;1776370215.0
2,55;1776370191.0
1,13;1776370175.0
13,14;1776370131.0
10,06;1776370091.0
2,46;1776370063.0
7,33;1776370027.0
1,86;1776370006.0
25,24;1776369954.0
18,24;1776369907.0
1,54;1776369891.0
48,78;1776369831.0
3,12;1776369802.0
1,37;1776369786.0
1,72;1776369768.0
1,04;1776369755.0
1,27;1776369738.0
18,02;1776369690.0
1,20;1776369675.0
6,10;1776369640.0
2,69;1776369616.0
5,10;1776369584.0
4,69;1776369552.0
1,17;1776369537.0
3,06;1776369511.0
1,61;1776369493.0
1,15;1776369478.0
6,26;1776369444.0
1,00;1776369432.0
8,60;1776369395.0
4,77;1776369363.0
17,49;1776369316.0
1,39;1776369299.0
2,46;1776369276.0
60,47;1776369213.0
15,71;1776369168.0
1,31;1776369152.0
9,09;1776369114.0
1,15;1776369101.0
1,45;1776369083.0
2,10;1776369062.0
3,28;1776369036.0
2,04;1776369014.0
3,85;1776368986.0
6,80;1776368951.0
3,84;1776368922.0
1,62;1776368904.0
1,13;1776368891.0
22,44;1776368842.0
1,36;1776368826.0
6,23;1776368792.0
1,05;1776368780.0
1,71;1776368762.0
18,36;1776368714.0
1,17;1776368701.0
4,06;1776368673.0
1,91;1776368654.0
1,52;1776368632.0
1,05;1776368620.0
1,19;1776368602.0
7,46;1776368566.0
2,60;1776368543.0
1,24;1776368529.0
1,51;1776368512.0
97,78;1776368444.0
1,97;1776368424.0
9,51;1776368385.0
1,43;1776368364.0
16,30;1776368316.0
28,76;1776368264.0
1,81;1776368243.0
1,79;1776368224.0
1,46;1776368208.0
1,35;1776368191.0
2,10;1776368170.0
1,90;1776368148.0
3,14;1776368123.0
1,26;1776368108.0
1,29;1776368092.0
2,06;1776368070.0
1,42;1776368054.0
2,08;1776368034.0
1,16;1776368019.0
1,88;1776367999.0
109,79;1776367931.0
8,60;1776367890.0
3,18;1776367864.0
1,52;1776367847.0
21,98;1776367798.0
1,00;1776367787.0
1,63;1776367769.0
15,74;1776367724.0
1,19;1776367710.0
1,40;1776367692.0
1,31;1776367676.0
9,45;1776367637.0
1,57;1776367620.0
1,09;1776367608.0
6,09;1776367574.0
3,89;1776367546.0
1,22;1776367532.0
5,96;1776367498.0
27,43;1776367446.0
1,00;1776367434.0
1,42;1776367417.0
1,00;1776367405.0
36,64;1776367349.0
5,43;1776367316.0
1,43;1776367299.0
2,27;1776367278.0
1,36;1776367263.0
4,72;1776367233.0
1,61;1776367216.0
1,35;1776367201.0
1,01;1776367189.0
1,22;1776367174.0
419,65;1776367089.0
4,21;1776367060.0
2,80;1776367035.0
1,71;1776367015.0
1,00;1776367002.0
3,34;1776366974.0
9,87;1776366934.0
7,07;1776366899.0
1,62;1776366882.0
3,28;1776366856.0
1,06;1776366842.0
1,03;1776366828.0
4,64;1776366799.0
1,44;1776366783.0
1,32;1776366768.0
3,47;1776366742.0
4,30;1776366712.0
1,09;1776366700.0
1,62;1776366683.0
6,87;1776366648.0
3,46;1776366622.0
2,02;1776366596.0
239,01;1776366519.0
1,07;1776366507.0
2,05;1776366487.0
3,42;1776366460.0
1,72;1776366442.0
3,93;1776366414.0
1,15;1776366401.0
1,01;1776366390.0
7,48;1776366352.0
6,58;1776366317.0
14,57;1776366274.0
1,36;1776366259.0
1,44;1776366243.0
2,49;1776366220.0
2,65;1776366197.0
1,86;1776366178.0
1,27;1776366164.0
3,40;1776366136.0
3,05;1776366110.0
1,30;1776366095.0
1,42;1776366080.0
4,41;1776366051.0
2,80;1776366027.0
4,75;1776365996.0
1,00;1776365983.0
4,84;1776365953.0
1,98;1776365934.0
6,50;1776365899.0
2,11;1776365876.0
2,46;1776365854.0
1,71;1776365837.0
1,00;1776365825.0
1,76;1776365807.0
1,44;1776365790.0
3,94;1776365762.0
2,46;1776365738.0
11,75;1776365694.0
7,70;1776365658.0
1,01;1776365647.0
1,13;1776365634.0
1,62;1776365614.0
1,04;1776365602.0
1,58;1776365583.0
6,00;1776365550.0
3,85;1776365522.0
16,21;1776365477.0
40,26;1776365421.0
7,58;1776365385.0
1,13;1776365372.0
1,26;1776365359.0
2,08;1776365340.0
1,09;1776365326.0
1,00;1776365314.0
2,46;1776365292.0
1,76;1776365273.0
1,04;1776365261.0
2,48;1776365239.0
1,61;1776365221.0
2,22;1776365199.0
2,02;1776365179.0
3,45;1776365153.0
1,31;1776365138.0
1,27;1776365123.0
1,00;1776365109.0
1,54;1776365093.0
1,43;1776365077.0
2,10;1776365054.0
13,22;1776365011.0
4,71;1776364979.0
3,60;1776364950.0
1,00;1776364936.0
2,00;1776364916.0
2,06;1776364895.0
39,88;1776364838.0
1,12;1776364822.0
1,74;1776364803.0
1,37;1776364786.0
1,27;1776364771.0
1,97;1776364752.0
1,03;1776364740.0
1,08;1776364726.0
1,20;1776364711.0
1,98;1776364692.0
6,54;1776364656.0
8,24;1776364619.0
1,07;1776364607.0
2,17;1776364582.0
1,34;1776364567.0
1,46;1776364551.0
5,50;1776364518.0
3,49;1776364491.0
1,32;1776364476.0
1,12;1776364462.0
3,14;1776364437.0
1,07;1776364425.0
10,20;1776364384.0
13,13;1776364338.0
1,42;1776364320.0
2,28;1776364295.0
12,97;1776364251.0
1,04;1776364235.0
4,24;1776364205.0
3,24;1776364177.0
2,21;1776364156.0
2,72;1776364133.0
16,53;1776364087.0
1,33;1776364072.0
4,11;1776364044.0
1,00;1776364032.0
29,60;1776363980.0
4,43;1776363951.0
1,33;1776363936.0
1,46;1776363921.0
9,40;1776363881.0
1,28;1776363866.0
2,23;1776363842.0
1,20;1776363829.0
9,12;1776363791.0
1,90;1776363772.0
2,15;1776363750.0
6,32;1776363716.0
1,10;1776363703.0
3,41;1776363677.0
2,51;1776363655.0
6,47;1776363622.0
1,06;1776363610.0
1,16;1776363596.0
1,02;1776363585.0
1,82;1776363566.0
1,31;1776363549.0
1,83;1776363530.0
1,56;1776363512.0
17,86;1776363467.0
1,15;1776363452.0
1,01;1776363441.0
1,63;1776363420.0
1,00;1776363409.0
1,00;1776363395.0
2,16;1776363374.0
5,96;1776363340.0
1,68;1776363322.0
75,94;1776363259.0
1,79;1776363241.0
2,18;1776363219.0
1,85;1776363200.0
4,11;1776363167.0
25,81;1776363114.0
1,91;1776363095.0
59,21;1776363035.0
1,72;1776363013.0
1,36;1776362996.0
2,44;1776362974.0
1,54;1776362957.0
1,87;1776362938.0
1,48;1776362921.0
37,07;1776362866.0
2,52;1776362843.0
1,01;1776362831.0
1,69;1776362813.0
1,01;1776362801.0
1,60;1776362785.0
1,12;1776362771.0
1,14;1776362754.0
